id,vendor,series,name,sku,slug,active,source_url,created_at,updated_at
72,Harbinger,Harbinger Acoustic Click,Maduro,SPC 11101R,harbinger-harbinger-acoustic-click-maduro,true,https://www.harbingerfloors.com/product-page/maduro,Sun Jan 18 2026 21:21:19 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:13:01 GMT-0800 (Pacific Standard Time)
73,Harbinger,Signature Acoustic Click,Dublin,SAC 55101R,harbinger-signature-acoustic-click-dublin,true,https://www.harbingerfloors.com/product-page/dublin-1,Sun Jan 18 2026 21:21:19 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:13:01 GMT-0800 (Pacific Standard Time)
74,Harbinger,Signature Acoustic Click,Bantame,SAC 55010S,harbinger-signature-acoustic-click-bantame,true,https://www.harbingerfloors.com/product-page/bantame,Sun Jan 18 2026 21:21:19 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:13:02 GMT-0800 (Pacific Standard Time)
75,Harbinger,Craftsman,Gobi,HCP 44044R,harbinger-craftsman-gobi,true,https://www.harbingerfloors.com/product-page/gobi,Sun Jan 18 2026 21:21:20 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:13:02 GMT-0800 (Pacific Standard Time)
76,Harbinger,Signature Acoustic Click,Jakarta,HCP 66022R,harbinger-signature-acoustic-click-jakarta,true,https://www.harbingerfloors.com/product-page/jakarta,Sun Jan 18 2026 21:21:20 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:13:02 GMT-0800 (Pacific Standard Time)
77,Harbinger,Signature Acoustic Click,Exeter,SAC 55115R,harbinger-signature-acoustic-click-exeter,true,https://www.harbingerfloors.com/product-page/exeter,Sun Jan 18 2026 21:21:20 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:13:02 GMT-0800 (Pacific Standard Time)
78,Harbinger,Signature Acoustic Click,Paris,HCP 66055R,harbinger-signature-acoustic-click-paris,true,https://www.harbingerfloors.com/product-page/paris,Sun Jan 18 2026 21:21:20 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:13:03 GMT-0800 (Pacific Standard Time)
79,Harbinger,Signature Acoustic Click,Munich,TQZ 2405R,harbinger-signature-acoustic-click-munich,true,https://www.harbingerfloors.com/product-page/munich,Sun Jan 18 2026 21:21:20 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:13:03 GMT-0800 (Pacific Standard Time)
80,Harbinger,Signature Acoustic Click,"Cambridge 9""",WPC 77066R,harbinger-signature-acoustic-click-cambridge-9,true,https://www.harbingerfloors.com/product-page/cambridge-9,Sun Jan 18 2026 21:21:21 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:13:03 GMT-0800 (Pacific Standard Time)
81,Harbinger,Signature Acoustic Click,Marengo Grey,SAC 55004S,harbinger-signature-acoustic-click-marengo-grey,true,https://www.harbingerfloors.com/product-page/marengo-grey,Sun Jan 18 2026 21:21:21 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:13:03 GMT-0800 (Pacific Standard Time)
